index,care,harm,fairness,cheating,loyalty,betrayal,authority,subversion,purity,degradation
0,0.5838931798934937,0.0007524832035414875,0.00198140786960721,0.0007904348312877119,0.007154119201004505,0.037277210503816605,0.0005931112100370228,0.0009400263079442084,0.0009681659867055714,0.014600569382309914
1,0.07575356960296631,0.000963090336881578,0.00048298094770871103,0.0003716829523909837,0.002813811181113124,0.000870124960783869,0.0008507613674737513,0.001072389422915876,0.0006304795970208943,0.01035364530980587
2,0.019778192043304443,0.0008575221872888505,0.0004426264495123178,0.0003195482713636011,0.050840720534324646,0.0007629428873769939,0.0006733002373948693,0.001045712037011981,0.0009859339334070683,0.007442956790328026
3,0.015207897871732712,0.0010534670436754823,0.9684199094772339,0.0031474812421947718,0.0014990458730608225,0.0007776275742799044,0.00042983205639757216,0.0008825369295664132,0.00043351060594432056,0.009314381517469883
4,0.03331045061349869,0.013891811482608318,0.004718024283647537,0.0018556754803285003,0.0014532170025631785,0.002179389586672187,0.001163216307759285,0.002006002701818943,0.0016162953106686473,0.012602838687598705
5,0.050478819757699966,0.0015662714140489697,0.8228961229324341,0.0025729069020599127,0.0012090851087123156,0.0003965682117268443,0.000526525778695941,0.00047709039063192904,0.00045589785440824926,0.0066611613146960735
6,0.01987507939338684,0.004706484265625477,0.000648412446025759,0.0015204917872324586,0.0017382112564519048,0.0006681754603050649,0.0010584004921838641,0.0014417635975405574,0.0006010826909914613,0.011534416116774082
7,0.01655418612062931,0.0010309141362085938,0.0073353261686861515,0.0011458860244601965,0.0011186060728505254,0.000716213951818645,0.0003873965470120311,0.0007001460762694478,0.000556201848667115,0.008320554159581661
8,0.4215811491012573,0.001256016083061695,0.9928684830665588,0.01734013296663761,0.0016022773925215006,0.0008329016854986548,0.0005409370642155409,0.0005610655061900616,0.0005256299045868218,0.0070780543610453606
9,0.22408027946949005,0.13823887705802917,0.0034031544346362352,0.0020983268041163683,0.0010921276407316327,0.000646572676487267,0.0006513259722851217,0.0013955228496342897,0.0006240157526917756,0.013196293264627457
index,care,harm,fairness,cheating,loyalty,betrayal,authority,subversion,purity,degradation
10,0.03387327492237091,0.0008553038351237774,0.9917868971824646,0.029030626639723778,0.005543021019548178,0.0004765746998600662,0.0003704517148435116,0.000506164797116071,0.0005281868507154286,0.007783304434269667
11,0.01751059852540493,0.001378455781377852,0.0027291232254356146,0.0034478073939681053,0.0008912939811125398,0.0006785328150726855,0.00035409710835665464,0.0008125779568217695,0.0004823241906706244,0.00665942020714283
12,0.021572038531303406,0.0006942134350538254,0.0038127279840409756,0.0007774559780955315,0.0015374647919088602,0.0008408833527937531,0.0004679768462665379,0.0004977951175533235,0.0007647951133549213,0.006974566727876663
13,0.016893889755010605,0.0008586322073824704,0.0008462487021461129,0.0009956250432878733,0.0014215343398973346,0.0006045926711522043,0.0005243696505203843,0.0008834716281853616,0.000569945084862411,0.010450499132275581
14,0.017639869824051857,0.0035223891027271748,0.9699781537055969,0.0009676828049123287,0.0034361062571406364,0.0006603373331017792,0.00044459072523750365,0.00047262708540074527,0.0005468541639856994,0.006102425046265125
15,0.04047602042555809,0.009237520396709442,0.00089660519734025,0.0019456874579191208,0.0011279396712779999,0.0009080310119315982,0.0010246129240840673,0.0015112607507035136,0.0011025296989828348,0.043340981006622314
16,0.026944776996970177,0.011004542000591755,0.9931623935699463,0.9552148580551147,0.027903622016310692,0.0007564898114651442,0.0007351579843088984,0.001367287477478385,0.0012079949956387281,0.011864162050187588
17,0.07738906145095825,0.02276710420846939,0.9891515970230103,0.4607415199279785,0.0009874259121716022,0.0006889874930493534,0.00042845442658290267,0.0005684315110556781,0.0004365702625364065,0.007206379435956478
18,0.18463017046451569,0.0009775942889973521,0.9944016337394714,0.045838311314582825,0.015576531179249287,0.0010319940047338605,0.00048489461187273264,0.0006869831122457981,0.000563006557058543,0.006711029913276434
19,0.6094104051589966,0.0054879155941307545,0.004052636679261923,0.0012389477342367172,0.0018726144917309284,0.0014232274843379855,0.0007519044447690248,0.0014117787359282374,0.0005198317812755704,0.0077009727247059345
index,care,harm,fairness,cheating,loyalty,betrayal,authority,subversion,purity,degradation
20,0.30831173062324524,0.0369270034134388,0.9883515238761902,0.0007732058293186128,0.0011450725141912699,0.0005269552930258214,0.0005020166863687336,0.0005564006278291345,0.0004329198563937098,0.006325264926999807
21,0.15621456503868103,0.1857936829328537,0.0003644215175881982,0.0024315628688782454,0.001686973962932825,0.019282536581158638,0.0007523875683546066,0.006883793976157904,0.0006989899557083845,0.03166164830327034
22,0.018822336569428444,0.001983106601983309,0.0008122095023281872,0.0010368855437263846,0.0012839216506108642,0.0005804994143545628,0.0005678639863617718,0.0009839184349402785,0.000626562861725688,0.007691068109124899
23,0.024380430579185486,0.1775720864534378,0.9855993986129761,0.5246795415878296,0.001523858867585659,0.0009849651250988245,0.0006851141806691885,0.0007089517894200981,0.0006591496057808399,0.009548434987664223
24,0.0364537388086319,0.018198270350694656,0.0033612698316574097,0.0023677388671785593,0.009326202794909477,0.004035048186779022,0.0030530004296451807,0.0017643714090809226,0.0009229976567439735,0.009135999716818333
25,0.03365250676870346,0.01927008666098118,0.0020208547357469797,0.0008951067575253546,0.0026508900336921215,0.0006653572199866176,0.004857885651290417,0.0010609658202156425,0.0009973804699257016,0.015169011428952217
26,0.027559608221054077,0.0032863235101103783,0.0003800799313466996,0.0006551706464961171,0.007646311540156603,0.0025831006933003664,0.0009530267561785877,0.0012706756824627519,0.0005766081740148365,0.016914725303649902
27,0.017327453941106796,0.0025713008362799883,0.00042022092384286225,0.01964227296411991,0.0019732031505554914,0.0020114434882998466,0.0005578793352469802,0.0019614777993410826,0.0005491555784828961,0.024671535938978195
28,0.026684800162911415,0.0012276283232495189,0.0005513452342711389,0.0005701795453205705,0.012175388634204865,0.0015821628039702773,0.0009236909099854529,0.0010627987794578075,0.000760421622544527,0.007211187854409218
29,0.09229695051908493,0.0009112574043683708,0.9815651774406433,0.0036954714450985193,0.0024992681574076414,0.0008814687607809901,0.0005946460296399891,0.0005574524402618408,0.000543423811905086,0.0067209904082119465
